
"Exclusion Zone 1 "

"Point","Azimuth (deg)","Elevation (deg)"

"Inclusion Zone 16 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,88.147,-15.802
2,88.610,-15.805
3,89.073,-15.808
4,89.073,-16.236
5,88.610,-16.233
6,88.147,-16.230
7,88.147,-15.802

"Inclusion Zone 17 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,61.900,-8.523
2,62.262,-8.551
3,62.262,-8.952
4,61.900,-8.923
5,61.900,-8.523

"Inclusion Zone 18 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,54.861,-7.909
2,55.172,-7.939
3,55.485,-7.969
4,55.485,-8.343
5,55.172,-8.312
6,54.861,-8.281
7,54.861,-7.909

"Inclusion Zone 19 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,62.626,-8.177
2,62.993,-8.203
3,63.362,-8.230
4,63.362,-8.635
5,62.993,-8.607
6,62.626,-8.579
7,62.626,-8.177

"Inclusion Zone 20 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,55.801,-7.622
2,56.120,-7.651
3,56.120,-8.028
4,55.801,-7.999
5,55.801,-7.622

"Inclusion Zone 21 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,56.120,-6.893
2,56.120,-1.539
3,56.440,-1.545
4,56.440,-1.931
5,56.763,-1.938
6,56.763,-1.550
7,57.089,-1.556
8,57.417,-1.562
9,57.417,-1.952
10,57.747,-1.959
11,57.747,-1.568
12,58.080,-1.573
13,58.415,-1.579
14,58.415,-1.974
15,58.752,-1.981
16,58.752,-1.585
17,59.092,-1.590
18,59.092,-1.988
19,59.435,-1.995
20,59.435,-1.596
21,59.780,-1.602
22,60.127,-1.607
23,60.127,-2.009
24,60.477,-2.016
25,60.477,-1.613
26,60.829,-1.619
27,61.184,-1.624
28,61.184,-2.030
29,61.541,-2.037
30,61.541,-1.630
31,61.541,-1.222
32,61.900,-1.226
33,61.900,-1.635
34,61.900,-2.044
35,62.262,-2.050
36,62.262,-1.641
37,62.626,-1.646
38,62.993,-1.651
39,62.993,-2.064
40,63.362,-2.071
41,63.362,-1.657
42,63.734,-1.662
43,63.734,-2.077
44,63.734,-4.149
45,63.362,-4.136
46,62.993,-4.123
47,62.993,-4.533
48,62.626,-4.518
49,62.262,-4.504
50,62.262,-4.911
51,61.900,-4.895
52,61.541,-4.878
53,61.541,-5.283
54,61.184,-5.265
55,60.829,-5.247
56,60.829,-5.648
57,60.477,-5.629
58,60.127,-5.609
59,60.127,-6.007
60,59.780,-5.986
61,59.435,-5.965
62,59.435,-6.360
63,59.092,-6.337
64,58.752,-6.315
65,58.752,-6.706
66,58.415,-6.682
67,58.080,-6.658
68,58.080,-7.046
69,57.747,-7.021
70,57.417,-6.995
71,57.417,-7.380
72,57.089,-7.353
73,56.763,-7.326
74,56.763,-7.707
75,56.440,-7.679
76,56.120,-7.651
77,56.120,-7.272
78,56.120,-6.893

"Inclusion Zone 22 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,71.233,-5.687
2,71.650,-5.701
3,71.650,-6.136
4,71.233,-6.121
5,71.233,-5.687

"Inclusion Zone 23 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,72.489,-5.289
2,72.911,-5.302
3,72.911,-5.741
4,72.489,-5.727
5,72.489,-5.289

"Inclusion Zone 24 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,73.336,-4.873
2,73.762,-4.884
3,74.190,-4.894
4,74.190,-5.336
5,73.762,-5.325
6,73.336,-5.313
7,73.336,-4.873

"Inclusion Zone 25 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,71.650,-3.953
2,72.068,-3.963
3,72.068,-4.401
4,71.650,-4.391
5,71.650,-3.953

"Inclusion Zone 26 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,72.489,-3.532
2,72.911,-3.540
3,72.911,-3.981
4,72.489,-3.972
5,72.489,-3.532

"Inclusion Zone 27 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,66.013,-2.539
2,66.013,-2.117
3,66.401,-2.123
4,66.401,-1.699
5,66.792,-1.704
6,67.184,-1.709
7,67.184,-2.135
8,67.184,-2.562
9,66.792,-2.554
10,66.401,-2.547
11,66.401,-2.971
12,66.013,-2.962
13,66.013,-2.539

"Inclusion Zone 28 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,67.579,-1.285
2,67.976,-1.289
3,67.976,-1.718
4,67.976,-2.148
5,67.579,-2.141
6,67.579,-1.713
7,67.579,-1.285

"Inclusion Zone 29 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,70.819,0.000
2,70.819,0.438
3,70.406,0.437
4,70.406,0.000
5,69.996,0.000
6,69.996,0.436
7,69.588,0.434
8,67.976,0.430
9,67.976,0.000
10,67.579,0.000
11,67.579,0.428
12,67.184,0.427
13,67.184,0.000
14,66.792,0.000
15,66.792,0.426
16,66.401,0.425
17,66.013,0.423
18,66.013,0.847
19,66.013,4.648
20,66.401,4.662
21,66.401,5.084
22,66.401,5.505
23,66.792,5.521
24,66.792,5.099
25,67.184,5.113
26,67.579,5.128
27,67.579,4.703
28,67.976,4.716
29,68.376,4.729
30,68.376,4.301
31,68.778,4.313
32,69.182,4.324
33,69.182,3.893
34,69.588,3.904
35,69.996,3.914
36,69.996,3.480
37,70.406,3.489
38,70.819,3.498
39,70.819,3.062
40,71.233,3.069
41,72.068,3.084
42,72.068,2.644
43,72.489,2.650
44,72.911,2.656
45,72.911,2.214
46,72.911,0.443
47,72.489,0.442
48,72.068,0.441
49,72.068,0.000
50,71.650,0.000
51,71.650,0.440
52,71.233,0.439
53,71.233,0.000
54,71.233,-0.439
55,70.819,-0.438
56,70.819,0.000

"Inclusion Zone 30 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,56.120,0.770
2,56.120,9.157
3,56.440,9.191
4,57.417,9.291
5,57.417,8.911
6,57.747,8.943
7,58.415,9.007
8,58.415,8.621
9,58.752,8.652
10,59.435,8.713
11,59.435,8.323
12,59.780,8.352
13,60.829,8.438
14,60.829,8.042
15,61.184,8.069
16,61.541,8.096
17,61.541,7.696
18,61.900,7.722
19,62.262,7.747
20,62.262,7.344
21,62.626,7.368
22,62.993,7.392
23,62.993,6.986
24,63.362,7.008
25,63.734,7.031
26,63.734,6.621
27,63.734,0.416
28,63.362,0.414
29,56.120,0.385
30,56.120,0.770

"Inclusion Zone 31 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,56.763,9.978
2,57.089,10.014
3,57.089,9.637
4,56.763,9.602
5,56.763,9.978

"Inclusion Zone 32 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,55.801,10.241
2,56.120,10.278
3,56.440,10.316
4,56.440,9.942
5,56.120,9.905
6,55.801,9.869
7,55.801,10.241

"Inclusion Zone 33 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,54.861,10.494
2,54.552,10.455
3,53.941,10.377
4,53.941,10.739
5,53.640,10.699
6,53.340,10.659
7,53.340,11.017
8,53.043,10.976
9,53.043,11.332
10,52.748,11.289
11,52.748,11.644
12,53.043,11.688
13,53.340,11.732
14,53.340,11.375
15,53.640,11.418
16,53.941,11.461
17,53.941,11.101
18,54.245,11.142
19,54.552,11.184
20,54.552,10.820
21,54.861,10.861
22,55.172,10.901
23,55.172,10.534
24,55.485,10.573
25,55.801,10.612
26,55.801,10.241
27,55.485,10.203
28,54.861,10.128
29,54.861,10.494

"Inclusion Zone 34 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,52.456,11.952
2,52.748,11.997
3,52.748,11.644
4,52.456,11.600
5,52.456,11.952

"Inclusion Zone 35 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,90.000,16.664
2,90.464,16.664
3,90.464,16.237
4,90.000,16.238
5,90.000,16.664

